genre,review,rating
history_biography,"I never thought I could care so much about an eight-man collegiate rowing team. This book is highly skilled nonfiction and draws you in mentally and emotionally. I found myself caring so much about Joe, his story, and the rest of the boys in the boat. 
 The book skillfully weaves in America's history of the Depression and Germany's history leading up to WWII, connecting all the stories into one riveting narrative. 
 While reading the accounts of the various races, I'd find myself holding my breath, anxious for the oarsmen and the outcomes. I really, really cared about this story, much more than I'd have ever expected.",5
history_biography,"I argued with 99% of this book because it was mainly based off of Twilight, and I hate Twilight with a strong passion. The few parts I liked/agreed with were the parts that referenced Harry Potter. Not the best book, but if you want to know about RPatz early life, I would suggest it.",1
history_biography,"One word : inspiring! 
 such an amazing story, I can see my own self in your self, Mr.Iwan. 
 :) 
 Touching. To the deepest.",4
romance,"Playboy Johnny Duane Reed with all his charms and swagger is a love 'em and leave 'em type of man. Crystal Debrowski know this of him yet she couldn't resist falling into bed with him each time he flew into town. 
 Trying to move up the chain in her casino, Crystal suddenly gets caught up in counterfeit chip and money, and the next thing she knew, she's abducted into human trafficking across the world in Jakarta. 
 Now it's racing against time as Johnny tries to save Crystal before she's lost in the sex trade world. 
 This is an action packed book from beginning to end. Just when you think you can catch your breath, the next minute, you're holding your breath waiting to see what happens. 
 I enjoyed everything about the book, the plot, the characters, and the writing. Even in the most dire situation, Crystal was never a damsel in distress. She really surprised me with how she took care of herself. Johnny had always been likable to me but this book made him more endearing. 
 My favorite in the series so far!",5
young_adult,"These books were getting old but I couldn't not read them. I keep wanting more of our four liars and A drama. This one was really good. Was a quick read and I enjoyed every moment. But I was expecting it to be the end again, but of course theres another on the way and the Ali book that just came out that I hope my library gets in fast. This is deff always gonna be a fav sseries fir me as well as the tv show which comes back soon. If your not sure you should read this, you should. More secrets. New A possibilities. Ans leaving you wanting, no needing more.",5
history_biography,Absolutely breath-taking. One of the very best things I have ever read.,5
history_biography,"See full review for Scrappy Little Nobody at: https://toomanybooksnotenoughshelves.... 
 Apparently, August was the month for books that I was hesitant to read. Scrappy Little Nobody was on that list because well...if you haven't noticed I mostly read fiction whether it be YA or literary, paranormal or contemporary, I only very rarely dive into historical (ignore the historical fiction binge I went on in 2015) and even that I know the truth is severely stretched and manipulated to fit the author's needs. So reading nonfiction/memoirs aren't norm for me. In fact, I don't read them at all. With the world being the way it is lately, I don't need 'realness' in my reading selections. I need fantasy and humor. I know what you're thinking now though, if that's the case why did I even bother adding Scrappy Little Nobody to my reading list? Well, to be honest, just because I don't read nonfiction, doesn't mean I'm completely against it and Anna Kendrick is kind of one of my favorite actresses of all time. I mean, Pitch Perfect was pretty much my favorite movie in my senior year of college. So I figured if I'm going to give this genre a try for the first time why don't I start with someone who I find ridiculously funny and sarcastic?",4
fantasy_paranormal,"Shadows by Christi J. Whitney 
 Shadows picks up at graduation, about 1-2 months after Grey ended. Sebastian graduated, he's still estranged from his friends and still a gargoyle. I thought we might get a moment where he reveals his secret to Katie early on, but it doesn't happen. Instead, Sebastian agrees to go back to the Romaney clan. This is clearly trouble. 
 Do I ever love the brotherly relationship between Hugo and Sebastian. Grey surprised me when it focused on it towards the end without ever letting up on also focusing on the romance with Josephine. It's nice to see characters who love their family, friends, and have romantic interests. We learn a lot more about the Romaney family in this novel, including their particular family dynamic. The Romaney's (with Nicholas as bandoleer) are more authoritarian than the Corsi clan, which made me miss the relationships between the Gypsy Ink Corsi's even more as the novel progressed. 
 There's a lot of talk about how Sebastian should accept himself and his gargoyle nature. There's a lot I don't know about this. That's partly because the nature of the Shadowen is kept secret. It seems like a not-so-good idea to me. This plot thread remains unresolved by the end of the story. There's a narrative split between the acceptance camp and the repression camp, and it's ultimately not clear which way will solve Sebastian's problems controlling himself. 
 Sebastian's life with the Romaney's is rough. There are new levels of terrible explored, and when you think it's not going to get worse, it does. No one likes him, and a big mystery about the nature of the Shadowen develops. One of the gargoyles from Grey returns, but he's a true, mindless monster now. The fear that Sebastian is going to turn is real. THE FEAR IS REAL. Like in Grey, Shadows pays off the emotional stakes at the end of the story. I suspected Shadows was going to have a downer ending, but that still didn't prepare me for how angry it made me. I need book 3 right now I'm not okay with my feelings at the end this book. 
 Josephine got a personality! She's still a quiet, sometimes 'too pure' character, but the rigid family structure of the Romaney clan shaped who she is. She doesn't have real friends; she's being groomed for an important role in gypsy society, so she's carried that responsibility from a young age. She's a girl who never got to be a child, and she's clearly repressed a lot of feelings. It's difficult to empathize with a guarded character because, well, they don't emote much, but Josephine comes into herself in Shadows. It's official: I believe in her as a love interest. 
 The new Romaney clan characters are strong. Zara, Phoebe, and twin Francis, who got some but not a lot of time last book, stand out. There are a lot of effortlessly likable characters in this story. There are also a lot of detestable characters in this story. Quentin wins the most hated character, hands down. I typically don't like when 'the other woman/the other man' is the default bad character, but the twist at the end of the story sold me on Quentin as a villain with his own, particular motives beyond 'easy love triangle antagonist.' Augustine makes an appearance again, and while he appeared more of a nuisance in Grey, he's advanced to the stage of The Chessmaster in Shadows. Augustine has a plan, and while some of it's clear, most of his secrets remain mysteries. Shadows ends on the biggest of cliff hangers, so don't expect resolution, even the bitter sweet kind, like in Grey.",5
young_adult,"The first 50 pages kinda bored me, but then I was hooked. This was also a lot sadder than I expected, but also so extremely beautiful. More thoughts later!",4
fantasy_paranormal,"See full review for The Girl at Midnight at: https://toomanybooksnotenoughshelves.... 
 This is the story of two warring factions and how one person and a crew of misfits try to bring them to peace. On one side you have the Avicien, an ancient race of people with feathers for their hair and magic running through their veins. On the other side are the Drakharin, human like dragons. These two factions have been at war for centuries with massive body counts to show for it. In the middle we have a human girl named Echo (although that isn't her real name). She was brought into the Avicien's by the Ala when she was a small girl and has been pickpocketing for them ever since, even though some believe that she doesn't truly belong. 
 Everything Echo knows though is about to be supremely tested when a simple birthday gift for the Ala turns into a scavenger hunt for the legendary firebird, whose power is rumored to be able to stop the war. But she isn't the only one searching for it, Caius - the Drakharin Prince - is also on the trail, and he has his own purposes for the firebird.",5
